var,N,type
,10,normal
,10,anti
0.0960981235596514,120,normal
0.041734158579907414,120,anti
0.055606568392124224,230,normal
0.026551386122626513,230,anti
0.02947107531242441,340,normal
0.016010989713427765,340,anti
0.02947107531242441,450,normal
0.016010989713427765,450,anti
0.014356997719273656,560,normal
0.009234793013991601,560,anti
0.014356997719273656,670,normal
0.009234793013991601,670,anti
0.014356997719273656,780,normal
0.009234793013991601,780,anti
0.014356997719273656,890,normal
0.009234793013991601,890,anti
0.014356997719273656,1000,normal
0.009234793013991601,1000,anti
,10,normal
,10,anti
0.07721804539594088,120,normal
0.047275799264970546,120,anti
0.04440177060840481,230,normal
0.029348336744337063,230,anti
0.023058456972006515,340,normal
0.01714415063156619,340,anti
0.023058456972006515,450,normal
0.01714415063156619,450,anti
0.009703456800009625,560,normal
0.008560850274634952,560,anti
0.009703456800009625,670,normal
0.008560850274634952,670,anti
0.009703456800009625,780,normal
0.008560850274634952,780,anti
0.009703456800009625,890,normal
0.008560850274634952,890,anti
0.009703456800009625,1000,normal
0.008560850274634952,1000,anti
,10,normal
,10,anti
0.07223201869271068,120,normal
0.05999202719982268,120,anti
0.04214479629347124,230,normal
0.03670148644327309,230,anti
0.020742393224261524,340,normal
0.019199422713153006,340,anti
0.020742393224261524,450,normal
0.019199422713153006,450,anti
0.008063373806303849,560,normal
0.008786821790784357,560,anti
0.008063373806303849,670,normal
0.008786821790784357,670,anti
0.008063373806303849,780,normal
0.008786821790784357,780,anti
0.008063373806303849,890,normal
0.008786821790784357,890,anti
0.008063373806303849,1000,normal
0.008786821790784357,1000,anti
,10,normal
,10,anti
0.08308724889981638,120,normal
0.04027694969776031,120,anti
0.04899066950142588,230,normal
0.025028247826880505,230,anti
0.0253621248280296,340,normal
0.014168457571105318,340,anti
0.0253621248280296,450,normal
0.014168457571105318,450,anti
0.011115831918059146,560,normal
0.006231005207987395,560,anti
0.011115831918059146,670,normal
0.006231005207987395,670,anti
0.011115831918059146,780,normal
0.006231005207987395,780,anti
0.011115831918059146,890,normal
0.006231005207987395,890,anti
0.011115831918059146,1000,normal
0.006231005207987395,1000,anti
,10,normal
,10,anti
0.06636412218067748,120,normal
0.04950787988651131,120,anti
0.03916859287452635,230,normal
0.02913969602146514,230,anti
0.020833812681781038,340,normal
0.01646620516766367,340,anti
0.020833812681781038,450,normal
0.01646620516766367,450,anti
0.010860914711398972,560,normal
0.008919475538387525,560,anti
0.010860914711398972,670,normal
0.008919475538387525,670,anti
0.010860914711398972,780,normal
0.008919475538387525,780,anti
0.010860914711398972,890,normal
0.008919475538387525,890,anti
0.010860914711398972,1000,normal
0.008919475538387525,1000,anti
,10,normal
,10,anti
0.06778374761734453,120,normal
0.03759093348538303,120,anti
0.041649632674081644,230,normal
0.023743875284631878,230,anti
0.022496893990201956,340,normal
0.013024856829152803,340,anti
0.022496893990201956,450,normal
0.013024856829152803,450,anti
0.00893269574148811,560,normal
0.005765597743959429,560,anti
0.00893269574148811,670,normal
0.005765597743959429,670,anti
0.00893269574148811,780,normal
0.005765597743959429,780,anti
0.00893269574148811,890,normal
0.005765597743959429,890,anti
0.00893269574148811,1000,normal
0.005765597743959429,1000,anti
,10,normal
,10,anti
0.10499975445603173,120,normal
0.050613330195451306,120,anti
0.0616740796313485,230,normal
0.03069489955757222,230,anti
0.033294883332089215,340,normal
0.017164559535645104,340,anti
0.033294883332089215,450,normal
0.017164559535645104,450,anti
0.014599444564985534,560,normal
0.00785843243479846,560,anti
0.014599444564985534,670,normal
0.00785843243479846,670,anti
0.014599444564985534,780,normal
0.00785843243479846,780,anti
0.014599444564985534,890,normal
0.00785843243479846,890,anti
0.014599444564985534,1000,normal
0.00785843243479846,1000,anti
,10,normal
,10,anti
0.07511226920555207,120,normal
0.047076703803218496,120,anti
0.044967205504772546,230,normal
0.027826727119070728,230,anti
0.023801637547817632,340,normal
0.01475093628173203,340,anti
0.023801637547817632,450,normal
0.01475093628173203,450,anti
0.011678478878587986,560,normal
0.007498753826938429,560,anti
0.011678478878587986,670,normal
0.007498753826938429,670,anti
0.011678478878587986,780,normal
0.007498753826938429,780,anti
0.011678478878587986,890,normal
0.007498753826938429,890,anti
0.011678478878587986,1000,normal
0.007498753826938429,1000,anti
,10,normal
,10,anti
0.07443849148182952,120,normal
0.03835894759769436,120,anti
0.04439790176570464,230,normal
0.024129280931549233,230,anti
0.025383252487189076,340,normal
0.01383768253559541,340,anti
0.025383252487189076,450,normal
0.01383768253559541,450,anti
0.011431808831733703,560,normal
0.0057571458006768625,560,anti
0.011431808831733703,670,normal
0.0057571458006768625,670,anti
0.011431808831733703,780,normal
0.0057571458006768625,780,anti
0.011431808831733703,890,normal
0.0057571458006768625,890,anti
0.011431808831733703,1000,normal
0.0057571458006768625,1000,anti
,10,normal
,10,anti
0.07062910615522887,120,normal
0.038836073753250405,120,anti
0.04215295433186284,230,normal
0.024232636078949953,230,anti
0.02286467546556738,340,normal
0.013683169049038883,340,anti
0.02286467546556738,450,normal
0.013683169049038883,450,anti
0.010105308761126416,560,normal
0.00731132362254879,560,anti
0.010105308761126416,670,normal
0.00731132362254879,670,anti
0.010105308761126416,780,normal
0.00731132362254879,780,anti
0.010105308761126416,890,normal
0.00731132362254879,890,anti
0.010105308761126416,1000,normal
0.00731132362254879,1000,anti
